captured_at_utc,line_id,line_name,mode_name,status_severity,status_severity_description,reason,disruption_category,validity_period_from,validity_period_to
2026-09-24T01:24:08+00:00,district,District,tube,20,Service Closed,District Line: Service will resume later this morning.,RealTime,2026-09-24T00:13:08Z,2026-09-24T04:22:34Z
2026-09-24T01:24:08+00:00,hammersmith-city,Hammersmith & City,tube,20,Service Closed,Hammersmith and City Line: Service will resume later this morning.,RealTime,2026-09-24T00:13:27Z,2026-09-24T04:22:34Z
2026-09-24T01:24:08+00:00,jubilee,Jubilee,tube,20,Service Closed,Jubilee Line: Service will resume later this morning.,RealTime,2026-09-24T00:13:34Z,2026-09-24T04:22:34Z
2026-09-24T01:24:08+00:00,metropolitan,Metropolitan,tube,20,Service Closed,Metropolitan Line: Service will resume later this morning.,RealTime,2026-09-24T00:13:41Z,2026-09-24T04:22:34Z
2026-09-24T01:24:08+00:00,northern,Northern,tube,20,Service Closed,Northern Line: Service will resume later this morning.,RealTime,2026-09-24T00:13:55Z,2026-09-24T04:22:34Z
2026-09-24T01:24:08+00:00,piccadilly,Piccadilly,tube,20,Service Closed,Piccadilly Line: Service will resume later this morning.,RealTime,2026-09-24T00:14:14Z,2026-09-24T04:22:34Z
2026-09-24T01:24:08+00:00,victoria,Victoria,tube,20,Service Closed,Victoria Line: Service will resume later this morning.,RealTime,2026-09-24T00:14:40Z,2026-09-24T04:22:34Z
2026-09-24T01:24:08+00:00,waterloo-city,Waterloo & City,tube,20,Service Closed,Waterloo and City Line: Service will resume at 06:00.,RealTime,2026-09-23T23:30:02Z,2026-09-24T04:22:34Z
2026-09-24T06:35:35+00:00,bakerloo,Bakerloo,tube,10,Good Service,,,,
2026-09-24T06:35:35+00:00,central,Central,tube,10,Good Service,,,,
2026-09-24T06:35:35+00:00,circle,Circle,tube,10,Good Service,,,,
2026-09-24T06:35:35+00:00,district,District,tube,9,Minor Delays,District Line: Minor delays due to train cancellations.,RealTime,2026-09-24T05:57:54Z,2026-09-25T00:29:00Z
2026-09-24T06:35:35+00:00,hammersmith-city,Hammersmith & City,tube,10,Good Service,,,,
2026-09-24T06:35:35+00:00,jubilee,Jubilee,tube,6,Severe Delays,"Jubilee Line: Severe delays due to an earlier signal failure at Baker Street. London Buses, Mildmay Line, DLR and Elizabeth Line are accepting tickets via any reasonable route.",RealTime,2026-09-24T05:31:03Z,2026-09-25T00:29:00Z
2026-09-24T06:35:35+00:00,metropolitan,Metropolitan,tube,10,Good Service,,,,
2026-09-24T06:35:35+00:00,northern,Northern,tube,6,Severe Delays,Northern Line: Severe delays between Kennington and Morden following a late finish of engineering work. Tickets will be accepted on London Buses via reasonable routes. GOOD SERVICE on the rest of the line.,RealTime,2026-09-24T06:16:28Z,2026-09-25T00:29:00Z
2026-09-24T06:35:35+00:00,piccadilly,Piccadilly,tube,10,Good Service,,,,
2026-09-24T06:35:35+00:00,victoria,Victoria,tube,10,Good Service,,,,
2026-09-24T06:35:35+00:00,waterloo-city,Waterloo & City,tube,10,Good Service,,,,
2026-09-24T12:11:35+00:00,bakerloo,Bakerloo,tube,10,Good Service,,,,
